0,1,2,3,4,5,6,7,8,9,10,11
Monday 21 November 2022,View groups,First stage · Group A,00:00,QATAR,ECUADOR,,,0,2,FT,
Monday 21 November 2022,View groups,First stage · Group B,21:00,ENGLAND,IRAN,,,6,2,FT,
Tuesday 22 November 2022,View groups,First stage · Group A,00:00,SENEGAL,NETHERLANDS,,,0,2,FT,
Tuesday 22 November 2022,View groups,First stage · Group B,03:00,UNITED STATES,WALES,,,1,1,FT,
Tuesday 22 November 2022,View groups,First stage · Group C,18:00,ARGENTINA,SAUDI ARABIA,,,1,2,FT,
Tuesday 22 November 2022,View groups,First stage · Group D,21:00,DENMARK,TUNISIA,,,0,0,FT,
Wednesday 23 November 2022,View groups,First stage · Group C,00:00,MEXICO,POLAND,,,0,0,FT,
Wednesday 23 November 2022,View groups,First stage · Group D,03:00,FRANCE,AUSTRALIA,,,4,1,FT,
Wednesday 23 November 2022,View groups,First stage · Group F,18:00,MOROCCO,CROATIA,,,0,0,FT,
Wednesday 23 November 2022,View groups,First stage · Group E,21:00,GERMANY,JAPAN,,,1,2,FT,
Thursday 24 November 2022,View groups,First stage · Group E,00:00,SPAIN,COSTA RICA,,,7,0,FT,
Thursday 24 November 2022,View groups,First stage · Group F,03:00,BELGIUM,CANADA,,,1,0,FT,
Thursday 24 November 2022,View groups,First stage · Group G,18:00,SWITZERLAND,CAMEROON,,,1,0,FT,
Thursday 24 November 2022,View groups,First stage · Group H,21:00,URUGUAY,KOREA REPUBLIC,,,0,0,FT,
Friday 25 November 2022,View groups,First stage · Group H,00:00,PORTUGAL,GHANA,,,3,2,FT,
Friday 25 November 2022,View groups,First stage · Group G,03:00,BRAZIL,SERBIA,,,2,0,FT,
Friday 25 November 2022,View groups,First stage · Group B,18:00,WALES,IRAN,,,0,2,FT,
Friday 25 November 2022,View groups,First stage · Group A,21:00,QATAR,SENEGAL,,,1,3,FT,
Saturday 26 November 2022,View groups,First stage · Group A,00:00,NETHERLANDS,ECUADOR,,,1,1,FT,
Saturday 26 November 2022,View groups,First stage · Group B,03:00,ENGLAND,UNITED STATES,,,0,0,FT,
Saturday 26 November 2022,View groups,First stage · Group D,18:00,TUNISIA,AUSTRALIA,,,0,1,FT,
Saturday 26 November 2022,View groups,First stage · Group C,21:00,POLAND,SAUDI ARABIA,,,2,0,FT,
Sunday 27 November 2022,View groups,First stage · Group D,00:00,FRANCE,DENMARK,,,2,1,FT,
Sunday 27 November 2022,View groups,First stage · Group C,03:00,ARGENTINA,MEXICO,,,2,0,FT,
Sunday 27 November 2022,View groups,First stage · Group E,18:00,JAPAN,COSTA RICA,,,0,1,FT,
Sunday 27 November 2022,View groups,First stage · Group F,21:00,BELGIUM,MOROCCO,,,0,2,FT,
Monday 28 November 2022,View groups,First stage · Group F,00:00,CROATIA,CANADA,,,4,1,FT,
Monday 28 November 2022,View groups,First stage · Group E,03:00,SPAIN,GERMANY,,,1,1,FT,
Monday 28 November 2022,View groups,First stage · Group G,18:00,CAMEROON,SERBIA,,,3,3,FT,
Monday 28 November 2022,View groups,First stage · Group H,21:00,KOREA REPUBLIC,GHANA,,,2,3,FT,
Tuesday 29 November 2022,View groups,First stage · Group G,00:00,BRAZIL,SWITZERLAND,,,1,0,FT,
Tuesday 29 November 2022,View groups,First stage · Group H,03:00,PORTUGAL,URUGUAY,,,2,0,FT,
Tuesday 29 November 2022,View groups,First stage · Group A,23:00,NETHERLANDS,QATAR,,,2,0,FT,
Tuesday 29 November 2022,View groups,First stage · Group A,23:00,ECUADOR,SENEGAL,,,1,2,FT,
Wednesday 30 November 2022,View groups,First stage · Group B,03:00,WALES,ENGLAND,,,0,3,FT,
Wednesday 30 November 2022,View groups,First stage · Group B,03:00,IRAN,UNITED STATES,,,0,1,FT,
Wednesday 30 November 2022,View groups,First stage · Group D,23:00,AUSTRALIA,DENMARK,,,1,0,FT,
Wednesday 30 November 2022,View groups,First stage · Group D,23:00,TUNISIA,FRANCE,,,1,0,FT,
Thursday 01 December 2022,View groups,First stage · Group C,03:00,POLAND,ARGENTINA,,,0,2,FT,
Thursday 01 December 2022,View groups,First stage · Group C,03:00,SAUDI ARABIA,MEXICO,,,1,2,FT,
Thursday 01 December 2022,View groups,First stage · Group F,23:00,CROATIA,BELGIUM,,,0,0,FT,
Thursday 01 December 2022,View groups,First stage · Group F,23:00,CANADA,MOROCCO,,,1,2,FT,
Friday 02 December 2022,View groups,First stage · Group E,03:00,JAPAN,SPAIN,,,2,1,FT,
Friday 02 December 2022,View groups,First stage · Group E,03:00,COSTA RICA,GERMANY,,,2,4,FT,
Friday 02 December 2022,View groups,First stage · Group H,23:00,GHANA,URUGUAY,,,0,2,FT,
Friday 02 December 2022,View groups,First stage · Group H,23:00,KOREA REPUBLIC,PORTUGAL,,,2,1,FT,
Saturday 03 December 2022,View groups,First stage · Group G,03:00,SERBIA,SWITZERLAND,,,2,3,FT,
Saturday 03 December 2022,View groups,First stage · Group G,03:00,CAMEROON,BRAZIL,,,1,0,FT,
